timestamp,kube-proxy-fq5mr,istiod-587bbdc654-kxkq9,omsagent-rs-7546994bcb-wgxnv,kube-proxy-6k99q,kube-proxy-6k99q,kube-proxy-6k99q,kubernetes-dashboard-7f7d6bbd7f-2p5nh,coredns-869cb84759-qvxlc,reviews-v2-6cb6ccd848-7pkwg,optimization-algorithm-8595878648-j47fn
1650826260,0.004059021,0.00624403,0.019369633,0.004474887,0.004474887,0.004474887,0.001436352,0.001050067,0.024500593,0.003309101
1650826560,0.003930448,0.005740851,0.019305104,0.004065176,0.004065176,0.004065176,0.001408829,0.001197298,0.02612902,0.001470796
1650826860,0.004264154,0.00579367,0.019231342,0.004175516,0.004175516,0.004175516,0.001462205,0.001467963,0.022463966,0.001028255
1650827160,0.004013777,0.006366945,0.020575889,0.004410825,0.004410825,0.004410825,0.001453794,0.001437155,0.022562395,0.000951571
1650827460,0.004120978,0.005720772,0.018679367,0.004289003,0.004289003,0.004289003,0.001505524,0.001405169,0.020084453,0.000901606
1650827760,0.00394882,0.006417044,0.019329027,0.004313131,0.004313131,0.004313131,0.001508888,0.001162654,0.021971388,0.000856017
1650828060,0.00433648,0.006243576,0.019729077,0.00469706,0.00469706,0.00469706,0.001396846,0.001265855,0.020150604,0.000923882
1650828360,0.003890038,0.005586377,0.018709389,0.004259662,0.004259662,0.004259662,0.00152636,0.001379295,0.024624187,0.000951024
1650828660,0.00386777,0.006055369,0.019180055,0.004116386,0.004116386,0.004116386,0.001442356,0.001445387,0.019406464,0.000870189
1650828960,0.003710631,0.005830217,0.01977174,,0.004393396,0.004393396,0.000935097,0.00128189,0.019200784,0.000896984
1650829260,0.003698502,0.005981848,,0.00403646,0.00403646,0.00403646,0.001050067,0.001050067,0.020631758,0.000913033
1650829560,0.003710861,0.006467157,0.018859873,0.004109401,0.004109401,0.004109401,0.001197298,0.001197298,0.017511161,0.000987311
1650829860,0.003873715,0.006243255,0.018348819,0.00420218,0.00420218,0.00420218,0.001467963,0.001467963,0.017243626,0.000898671
1650830160,0.003667422,0.005899336,0.018608778,0.004250555,0.004250555,0.004250555,0.001437155,0.001437155,0.017760479,0.000885633
1650830460,0.003664003,0.006139452,0.019385049,0.00398266,0.00398266,0.00398266,0.001405169,0.001405169,0.018196279,0.000909564
1650830760,0.003776303,0.006094776,0.020175403,0.004314663,0.004314663,0.004314663,0.001162654,0.001162654,0.017223764,0.000848476
1650831060,0.003861842,0.006043652,0.018910054,0.004108652,0.004108652,0.004108652,0.001265855,0.001265855,0.017836409,0.000886088
1650831360,0.003768066,0.006256786,0.018281995,0.004196498,0.004196498,0.004196498,0.001379295,0.001379295,0.016900991,0.000914499
1650831660,0.003745674,0.006285361,0.019039585,0.004177641,0.004177641,0.004177641,0.001445387,0.001445387,0.017068136,0.000923418
1650831960,0.003721911,0.006030152,0.01956995,0.00433407,0.00433407,0.00433407,,0.00128189,0.016994935,0.000902025
1650832260,0.003629729,0.006102498,,0.004173315,0.004173315,0.004173315,0.001391868,0.001391868,0.074224027,0.000919347
1650832560,0.003637417,0.005995631,0.019958761,0.004325248,0.004325248,0.004325248,0.001239856,0.001239856,0.013501536,0.000947339
1650832860,0.003665849,0.006625292,0.019630158,0.004320021,0.004320021,0.004320021,0.000921137,0.000921137,0.041088232,0.000896911
1650833160,0.003635115,0.006373285,0.020059136,0.004239696,0.004239696,0.004239696,0.000878857,0.000878857,0.01254974,0.00102774
1650833460,0.003804705,0.006348634,0.019301166,0.004196542,0.004196542,0.004196542,0.00124985,0.00124985,0.012725691,0.001025423
1650833760,0.003686546,0.006067363,0.019435651,0.0042618,0.0042618,0.0042618,0.001265034,0.001265034,0.012378364,0.001011755
1650834060,0.00381664,0.006072055,0.019418199,0.004236095,0.004236095,0.004236095,0.00131531,0.00131531,0.012449711,0.000949926
