timestamp,reviews|ratings,istio-ingressgateway|productpage,productpage|details,productpage|reviews
1650826260,0.69,1.04,1.04,1.04
1650826560,0.84,1.27,1.25,1.26
1650826860,0.91,1.36,1.36,1.36
1650827160,0.97,1.46,1.46,1.46
1650827460,0.76,1.14,1.14,1.14
1650827760,0.94,1.42,1.41,1.42
1650828060,0.94,1.4,1.41,1.41
1650828360,0.92,1.39,1.39,1.39
1650828660,0.9,1.34,1.34,1.34
1650828960,0.92,1.38,1.38,1.38
1650829260,0.98,1.46,1.47,1.47
1650829560,0.99,1.48,1.48,1.48
1650829860,0.97,1.45,1.46,1.46
1650830160,1.02,1.52,1.52,1.52
1650830460,1.02,1.53,1.53,1.53
1650830760,1.02,1.53,1.53,1.53
1650831060,0.99,1.49,1.48,1.48
1650831360,1.01,1.52,1.52,1.52
1650831660,1.02,1.54,1.54,1.54
1650831960,1.01,1.52,1.53,1.53
1650832260,1.02,1.53,1.53,1.53
1650832560,1.01,1.52,1.52,1.52
1650832860,1.02,1.52,1.52,1.52
1650833160,1,1.5,1.5,1.5
1650833460,1.01,1.52,1.52,1.52
1650833760,1.01,1.52,1.52,1.52
1650834060,1.03,1.54,1.54,1.54
1650834360,1.01,1.52,1.52,1.52
1650834660,1.02,1.53,1.53,1.53
1650834960,1.02,1.53,1.53,1.53
1650835260,1.02,1.53,1.53,1.53
1650835560,1.02,1.53,1.54,1.54
1650835860,1.02,1.53,1.53,1.53
1650836160,1,1.51,1.51,1.51
1650836460,1.03,1.54,1.54,1.54
1650836760,1.02,1.53,1.53,1.53
1650837060,1.03,1.54,1.55,1.55
1650837360,1.03,1.55,1.55,1.55
1650837660,1.03,1.54,1.53,1.53
1650837960,1.02,1.53,1.53,1.53
1650838260,1.02,1.53,1.53,1.53
1650838560,1.02,1.54,1.54,1.54
1650838860,1.01,1.52,1.52,1.53
1650839160,1.03,1.54,1.54,1.54
1650839460,1.02,1.53,1.53,1.53
1650839760,1.02,1.53,1.53,1.53
1650840060,1.02,1.53,1.53,1.53
1650840360,1.01,1.52,1.52,1.52
1650840660,1.02,1.54,1.54,1.54
1650840960,1.03,1.54,1.55,1.55
1650841260,1.02,1.53,1.53,1.53
1650841560,1.02,1.53,1.53,1.53
1650841860,0.99,1.48,1.49,1.49
1650842160,1,1.51,1.52,1.52
1650842460,1.03,1.54,1.53,1.53
1650842760,1.03,1.54,1.54,1.54
1650843060,1.02,1.53,1.53,1.53
1650843360,1.03,1.54,1.55,1.55
1650843660,1,1.51,1.52,1.52
1650843960,1.03,1.54,1.54,1.54
1650844260,1.02,1.53,1.53,1.53
1650844560,1.03,1.54,1.54,1.54
1650844860,1.02,1.53,1.53,1.53
1650845160,1.02,1.53,1.53,1.53
1650845460,1.01,1.52,1.52,1.52
1650845760,1.02,1.54,1.54,1.54
1650846060,1.03,1.55,1.55,1.55
1650846360,1.03,1.54,1.53,1.53
1650846660,1.02,1.53,1.53,1.53
1650846960,1.01,1.52,1.52,1.52
1650847260,1.02,1.52,1.52,1.52
1650847560,1.01,1.52,1.52,1.52
1650847860,1.02,1.53,1.53,1.53
1650848160,1.02,1.53,1.53,1.53
1650848460,1.02,1.53,1.53,1.53
1650848760,1.01,1.52,1.52,1.52
1650849060,1.02,1.52,1.52,1.52
1650849360,1,1.5,1.5,1.5
1650849660,1.01,1.52,1.52,1.52
1650849960,1.01,1.52,1.52,1.52
1650850260,1.03,1.54,1.54,1.54
1650850560,1.03,1.54,1.54,1.54
1650850860,1.02,1.53,1.53,1.53
1650851160,1.02,1.53,1.53,1.53
1650851460,1.03,1.54,1.55,1.55
1650851760,1,1.51,1.52,1.52
1650852060,0.97,1.45,1.46,1.46
1650852360,1.02,1.52,1.52,1.52
1650852660,1.02,1.53,1.53,1.53
1650852960,1.02,1.53,1.53,1.53
1650853260,1.03,1.54,1.55,1.55
1650853560,1.02,1.52,1.52,1.52
1650853860,1.02,1.53,1.53,1.53
1650854160,1.02,1.53,1.53,1.53
1650854460,1.02,1.53,1.53,1.53
1650854760,1.01,1.52,1.52,1.52
1650855060,1.02,1.53,1.53,1.53
1650855360,1.01,1.52,1.52,1.52
1650855660,1.02,1.52,1.52,1.52
